,GenderSelect,Country,Age,EmploymentStatus,CodeWriter,CurrentJobTitleSelect,MLToolNextYearSelect,MLMethodNextYearSelect,LanguageRecommendationSelect,FormalEducation,MajorSelect,Tenure,FirstTrainingSelect,LearningCategorySelftTaught,LearningCategoryOnlineCourses,LearningCategoryWork,LearningCategoryUniversity,LearningCategoryKaggle,LearningCategoryOther
4879,Male,United States,26.0,Employed full-time,Yes,Data Analyst,Python,Support Vector Machines (SVM),Python,Bachelor's degree,Computer Science,3 to 5 years,Self-taught,25.0,50.0,25.0,0.0,0.0,0.0
4882,Male,United States,22.0,Employed full-time,Yes,Data Analyst,TensorFlow,Genetic & Evolutionary Algorithms,Python,Bachelor's degree,Computer Science,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",25.0,50.0,20.0,5.0,0.0,0.0
4883,Male,United States,24.0,Employed full-time,Yes,Data Scientist,Java,Deep learning,Python,Master's degree,Engineering (non-computer focused),3 to 5 years,University courses,0.0,20.0,50.0,30.0,0.0,0.0
4884,Female,United States,24.0,Employed part-time,Yes,Data Analyst,SQL,"Ensemble Methods (e.g. boosting, bagging)",Python,Master's degree,A social science,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",10.0,30.0,10.0,50.0,0.0,0.0
4885,Male,United States,22.0,Employed full-time,Yes,Software Developer/Software Engineer,Julia,Genetic & Evolutionary Algorithms,Python,Master's degree,Computer Science,3 to 5 years,Self-taught,30.0,0.0,0.0,60.0,10.0,0.0
4889,Male,Switzerland,29.0,Employed full-time,Yes,Other,Python,Factor Analysis,Python,Doctoral degree,Physics,6 to 10 years,Work,15.0,20.0,50.0,5.0,10.0,0.0
4891,Male,Brazil,40.0,Employed full-time,No,Business Analyst,Python,Neural Nets,Python,Master's degree,Management information systems,Less than a year,"Online courses (coursera, udemy, edx, etc.)",30.0,65.0,5.0,0.0,0.0,0.0
4892,Male,United States,31.0,Employed full-time,Yes,Data Scientist,Python,Neural Nets,Python,Bachelor's degree,Mathematics or statistics,More than 10 years,Self-taught,40.0,0.0,30.0,0.0,30.0,0.0
4897,Male,Germany,34.0,Employed full-time,Yes,Data Scientist,Other,Neural Nets,Python,Master's degree,Mathematics or statistics,3 to 5 years,University courses,20.0,0.0,20.0,60.0,0.0,0.0
4898,Male,United States,32.0,Employed full-time,Yes,Scientist/Researcher,RapidMiner (free version),Deep learning,Python,Doctoral degree,Electrical Engineering,6 to 10 years,University courses,20.0,20.0,20.0,39.0,1.0,0.0
4899,Male,United Kingdom,45.0,Employed full-time,Yes,Business Analyst,Python,Deep learning,Python,Master's degree,Electrical Engineering,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",40.0,10.0,20.0,30.0,0.0,0.0
4901,Male,India,28.0,Employed full-time,Yes,Data Analyst,Microsoft R Server (Formerly Revolution Analytics),Support Vector Machines (SVM),R,Bachelor's degree,Other,Less than a year,"Online courses (coursera, udemy, edx, etc.)",30.0,50.0,20.0,0.0,0.0,0.0
4902,Male,France,25.0,Employed full-time,Yes,Machine Learning Engineer,Hadoop/Hive/Pig,Anomaly Detection,Python,Master's degree,Mathematics or statistics,1 to 2 years,University courses,20.0,0.0,30.0,50.0,0.0,0.0
4903,Male,United States,23.0,Employed full-time,No,Software Developer/Software Engineer,TensorFlow,Deep learning,Python,Bachelor's degree,Physics,3 to 5 years,University courses,10.0,10.0,0.0,80.0,0.0,0.0
4905,Male,United States,50.0,Employed part-time,No,Other,Python,"Ensemble Methods (e.g. boosting, bagging)",Python,Master's degree,Physics,Less than a year,University courses,20.0,0.0,10.0,70.0,0.0,0.0
4908,Male,United States,44.0,Employed full-time,Yes,Other,Impala,Deep learning,R,Master's degree,A social science,More than 10 years,University courses,90.0,0.0,0.0,10.0,0.0,0.0
4911,Male,Switzerland,37.0,Employed full-time,Yes,Data Scientist,Other,Text Mining,Scala,Doctoral degree,Computer Science,More than 10 years,Work,0.0,0.0,100.0,0.0,0.0,0.0
4913,Female,United States,32.0,Employed full-time,Yes,Data Scientist,TensorFlow,Deep learning,Python,Master's degree,A social science,6 to 10 years,"Online courses (coursera, udemy, edx, etc.)",20.0,10.0,50.0,20.0,0.0,0.0
4916,Female,United States,24.0,Employed full-time,No,Researcher,R,Social Network Analysis,R,Bachelor's degree,A social science,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",50.0,40.0,10.0,0.0,0.0,0.0
4917,Male,United States,31.0,Employed full-time,Yes,Researcher,Stan,Neural Nets,Python,Master's degree,Electrical Engineering,3 to 5 years,University courses,30.0,0.0,20.0,40.0,10.0,0.0
4918,Male,United States,33.0,Employed full-time,Yes,Statistician,DataRobot,Deep learning,R,Doctoral degree,Mathematics or statistics,More than 10 years,University courses,10.0,0.0,30.0,20.0,40.0,0.0
4919,Female,United States,31.0,Employed full-time,Yes,Data Scientist,Google Cloud Compute,Deep learning,Python,Master's degree,Mathematics or statistics,3 to 5 years,Other,25.0,0.0,0.0,25.0,0.0,50.0
4921,Female,United Kingdom,55.0,Employed full-time,Yes,Scientist/Researcher,Google Cloud Compute,Text Mining,R,Doctoral degree,Engineering (non-computer focused),More than 10 years,University courses,30.0,10.0,30.0,0.0,0.0,30.0
4923,Male,Russia,46.0,Employed full-time,Yes,Scientist/Researcher,DataRobot,Deep learning,R,Doctoral degree,Engineering (non-computer focused),1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",0.0,90.0,0.0,5.0,5.0,0.0
4924,Male,Iran,28.0,"Independent contractor, freelancer, or self-employed",Yes,Programmer,TensorFlow,Deep learning,Python,Master's degree,Mathematics or statistics,1 to 2 years,University courses,40.0,30.0,0.0,30.0,0.0,0.0
4925,Male,United States,35.0,Employed full-time,Yes,Data Scientist,Google Cloud Compute,Genetic & Evolutionary Algorithms,Python,Master's degree,Computer Science,6 to 10 years,University courses,20.0,15.0,20.0,30.0,10.0,5.0
4927,Female,Italy,26.0,Employed full-time,Yes,Statistician,Hadoop/Hive/Pig,Social Network Analysis,Python,Master's degree,Mathematics or statistics,3 to 5 years,University courses,0.0,0.0,0.0,100.0,0.0,0.0
4928,Male,Other,23.0,"Independent contractor, freelancer, or self-employed",No,Data Scientist,DataRobot,Factor Analysis,R,Master's degree,Mathematics or statistics,1 to 2 years,Self-taught,80.0,10.0,0.0,5.0,5.0,0.0
4929,Male,Germany,25.0,Employed part-time,Yes,Computer Scientist,Hadoop/Hive/Pig,Deep learning,R,Bachelor's degree,Computer Science,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",45.0,20.0,5.0,30.0,0.0,0.0
4930,Male,Canada,41.0,Employed full-time,Yes,Operations Research Practitioner,KNIME (free version),Deep learning,Python,Master's degree,Physics,More than 10 years,Self-taught,30.0,20.0,20.0,20.0,10.0,0.0
4933,Male,United Kingdom,45.0,Employed full-time,Yes,Computer Scientist,TensorFlow,Neural Nets,Python,Doctoral degree,Other,More than 10 years,University courses,10.0,0.0,50.0,40.0,0.0,0.0
4934,Male,Colombia,32.0,Employed full-time,Yes,Data Scientist,I don't plan on learning a new tool/technology,Deep learning,Python,Doctoral degree,Engineering (non-computer focused),6 to 10 years,University courses,20.0,10.0,20.0,50.0,0.0,0.0
4935,Male,France,40.0,Employed full-time,Yes,Data Analyst,Java,Other,Java,Doctoral degree,Computer Science,More than 10 years,University courses,20.0,0.0,20.0,60.0,0.0,0.0
4937,Male,United Kingdom,47.0,"Independent contractor, freelancer, or self-employed",Yes,Predictive Modeler,Python,Neural Nets,Python,Master's degree,Mathematics or statistics,More than 10 years,Work,0.0,80.0,19.0,0.0,1.0,0.0
4938,Male,Sweden,42.0,Employed full-time,Yes,Other,TensorFlow,Neural Nets,Python,Doctoral degree,Physics,3 to 5 years,Self-taught,40.0,20.0,30.0,10.0,0.0,0.0
4939,Male,United States,59.0,Retired,Yes,Computer Scientist,TensorFlow,Deep learning,Python,Bachelor's degree,Computer Science,More than 10 years,Work,60.0,0.0,20.0,20.0,0.0,0.0
4940,Male,United States,25.0,Employed full-time,Yes,Data Scientist,Other,Deep learning,R,Master's degree,Mathematics or statistics,1 to 2 years,Work,25.0,5.0,20.0,50.0,0.0,0.0
4943,Male,United States,38.0,Employed full-time,Yes,Other,Spark / MLlib,Time Series Analysis,R,Bachelor's degree,Computer Science,3 to 5 years,Self-taught,75.0,10.0,0.0,15.0,0.0,0.0
4944,Male,India,36.0,Employed full-time,Yes,Other,Python,Regression,Python,Bachelor's degree,Engineering (non-computer focused),More than 10 years,"Online courses (coursera, udemy, edx, etc.)",10.0,70.0,20.0,0.0,0.0,0.0
4947,Female,United States,30.0,Employed full-time,Yes,Data Scientist,Python,Factor Analysis,Python,Master's degree,Engineering (non-computer focused),3 to 5 years,Work,0.0,0.0,50.0,50.0,0.0,0.0
4948,Male,Canada,24.0,Employed full-time,Yes,Data Analyst,Tableau,Neural Nets,R,Bachelor's degree,A social science,3 to 5 years,Self-taught,40.0,30.0,30.0,0.0,0.0,0.0
4950,Male,United Kingdom,32.0,Employed full-time,Yes,Scientist/Researcher,TensorFlow,Deep learning,Python,Master's degree,Physics,6 to 10 years,"Online courses (coursera, udemy, edx, etc.)",15.0,5.0,75.0,0.0,5.0,0.0
4952,Male,Spain,43.0,Employed full-time,No,Business Analyst,Python,I don't plan on learning a new ML/DS method,Python,Master's degree,A social science,I don't write code to analyze data,"Online courses (coursera, udemy, edx, etc.)",0.0,100.0,0.0,0.0,0.0,0.0
4955,Male,United States,55.0,Employed full-time,No,Other,Python,Deep learning,Python,Master's degree,Other,Less than a year,"Online courses (coursera, udemy, edx, etc.)",0.0,100.0,0.0,0.0,0.0,0.0
4956,Male,Brazil,25.0,"Independent contractor, freelancer, or self-employed",Yes,Machine Learning Engineer,I don't plan on learning a new tool/technology,Deep learning,Python,Master's degree,Engineering (non-computer focused),1 to 2 years,University courses,65.0,15.0,10.0,10.0,0.0,0.0
4957,Male,India,28.0,Employed full-time,Yes,Data Analyst,Spark / MLlib,Other,Python,Master's degree,Electrical Engineering,6 to 10 years,Kaggle competitions,40.0,10.0,25.0,0.0,25.0,0.0
4959,Male,Other,37.0,Employed full-time,Yes,Data Scientist,Julia,Deep learning,R,Bachelor's degree,Computer Science,1 to 2 years,Self-taught,60.0,0.0,25.0,15.0,0.0,0.0
4960,Male,United States,62.0,"Independent contractor, freelancer, or self-employed",Yes,Data Scientist,TensorFlow,Text Mining,Python,Bachelor's degree,Other,More than 10 years,Self-taught,100.0,0.0,0.0,0.0,0.0,0.0
4961,Female,United States,25.0,Employed full-time,Yes,Scientist/Researcher,Python,Deep learning,Python,Bachelor's degree,Other,3 to 5 years,University courses,30.0,20.0,20.0,30.0,0.0,0.0
4962,Male,Spain,32.0,Employed full-time,Yes,Data Scientist,Julia,Deep learning,R,Doctoral degree,Engineering (non-computer focused),3 to 5 years,Self-taught,50.0,10.0,10.0,20.0,10.0,0.0
4964,Male,Germany,35.0,Employed full-time,Yes,Data Scientist,Python,Bayesian Methods,R,Master's degree,A social science,6 to 10 years,Self-taught,35.0,20.0,35.0,0.0,10.0,0.0
4967,Male,United States,50.0,Employed full-time,Yes,Scientist/Researcher,Other,Neural Nets,Java,Bachelor's degree,Biology,More than 10 years,Work,50.0,25.0,25.0,0.0,0.0,0.0
4968,Male,Canada,26.0,"Independent contractor, freelancer, or self-employed",Yes,Researcher,Spark / MLlib,Cluster Analysis,Python,Master's degree,A social science,3 to 5 years,University courses,50.0,0.0,0.0,50.0,0.0,0.0
4969,Male,United States,37.0,"Independent contractor, freelancer, or self-employed",Yes,Data Scientist,Other,Deep learning,Python,Master's degree,Computer Science,6 to 10 years,University courses,20.0,0.0,5.0,75.0,0.0,0.0
4970,Male,United States,31.0,Employed full-time,Yes,Scientist/Researcher,Google Cloud Compute,Neural Nets,R,Doctoral degree,A social science,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",40.0,50.0,0.0,10.0,0.0,0.0
4971,Male,United States,25.0,Employed full-time,Yes,Data Analyst,Hadoop/Hive/Pig,Random Forests,Python,Bachelor's degree,Mathematics or statistics,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",10.0,80.0,10.0,0.0,0.0,0.0
4973,Male,Other,49.0,Employed full-time,Yes,Statistician,Oracle Data Mining/ Oracle R Enterprise,Social Network Analysis,SQL,Master's degree,Mathematics or statistics,6 to 10 years,"Online courses (coursera, udemy, edx, etc.)",20.0,30.0,10.0,30.0,5.0,5.0
4974,Male,United States,43.0,Employed full-time,Yes,DBA/Database Engineer,Python,Anomaly Detection,Python,Master's degree,Management information systems,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",40.0,50.0,10.0,0.0,0.0,0.0
4975,Male,United States,27.0,Employed full-time,Yes,Researcher,Amazon Machine Learning,Cluster Analysis,R,Doctoral degree,Computer Science,6 to 10 years,Work,5.0,0.0,20.0,75.0,0.0,0.0
4979,Male,United States,32.0,Employed full-time,Yes,Data Scientist,TensorFlow,Bayesian Methods,Python,Doctoral degree,Engineering (non-computer focused),6 to 10 years,Other,0.0,0.0,20.0,0.0,0.0,80.0
4981,Female,France,31.0,Employed full-time,Yes,Data Scientist,TensorFlow,Deep learning,R,Doctoral degree,Electrical Engineering,6 to 10 years,"Online courses (coursera, udemy, edx, etc.)",30.0,60.0,10.0,0.0,0.0,0.0
4984,Male,United States,27.0,Employed full-time,No,Other,TensorFlow,Deep learning,Python,Master's degree,Engineering (non-computer focused),3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",15.0,15.0,0.0,20.0,50.0,0.0
4986,Female,United States,29.0,Employed full-time,No,Business Analyst,Python,Cluster Analysis,Python,Master's degree,A social science,1 to 2 years,University courses,10.0,0.0,60.0,30.0,0.0,0.0
4987,Male,United States,33.0,Employed full-time,Yes,Scientist/Researcher,Amazon Web services,Deep learning,R,Doctoral degree,Computer Science,More than 10 years,University courses,50.0,0.0,40.0,10.0,0.0,0.0
4989,Male,United States,35.0,Employed full-time,Yes,Software Developer/Software Engineer,Spark / MLlib,Deep learning,Scala,Doctoral degree,Computer Science,More than 10 years,University courses,20.0,0.0,30.0,50.0,0.0,0.0
4990,Female,United States,22.0,Employed full-time,Yes,Data Scientist,Spark / MLlib,Neural Nets,Python,Bachelor's degree,Mathematics or statistics,3 to 5 years,University courses,0.0,0.0,40.0,50.0,10.0,0.0
4995,Male,United States,22.0,"Independent contractor, freelancer, or self-employed",Yes,Software Developer/Software Engineer,Jupyter notebooks,Bayesian Methods,Python,Bachelor's degree,Computer Science,3 to 5 years,University courses,20.0,0.0,0.0,70.0,10.0,0.0
4996,Male,Romania,65.0,Employed full-time,No,Machine Learning Engineer,C/C++,Random Forests,C/C++/C#,Some college/university study without earning a bachelor's degree,Mathematics or statistics,1 to 2 years,Self-taught,50.0,0.0,30.0,0.0,20.0,0.0
4997,Male,United States,52.0,Employed full-time,Yes,Researcher,Google Cloud Compute,Bayesian Methods,Python,Doctoral degree,Physics,More than 10 years,University courses,40.0,0.0,10.0,50.0,0.0,0.0
4999,Female,United States,31.0,Employed full-time,Yes,Data Scientist,Spark / MLlib,Deep learning,C/C++/C#,Bachelor's degree,Mathematics or statistics,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",75.0,25.0,0.0,0.0,0.0,0.0
5000,Male,United States,29.0,Employed full-time,No,Business Analyst,R,Social Network Analysis,R,Master's degree,A social science,Less than a year,Self-taught,100.0,0.0,0.0,0.0,0.0,0.0
5002,Male,United States,26.0,Employed full-time,Yes,Data Scientist,TensorFlow,Time Series Analysis,Python,Master's degree,A social science,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",45.0,15.0,0.0,0.0,0.0,40.0
5003,Male,Israel,45.0,"Independent contractor, freelancer, or self-employed",Yes,Computer Scientist,Python,Deep learning,Python,Some college/university study without earning a bachelor's degree,Computer Science,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",15.0,55.0,15.0,0.0,15.0,0.0
5004,Male,Canada,31.0,Employed full-time,Yes,Data Analyst,TensorFlow,Deep learning,Python,Master's degree,Computer Science,3 to 5 years,University courses,50.0,0.0,20.0,30.0,0.0,0.0
5005,Male,United States,58.0,Employed full-time,No,Engineer,Python,"Ensemble Methods (e.g. boosting, bagging)",Python,Master's degree,Electrical Engineering,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",30.0,70.0,0.0,0.0,0.0,0.0
5006,Male,United States,28.0,Employed full-time,Yes,Data Scientist,QlikView,Social Network Analysis,R,Master's degree,Computer Science,1 to 2 years,University courses,0.0,0.0,40.0,40.0,20.0,0.0
5007,Male,United States,58.0,Employed full-time,Yes,Computer Scientist,TensorFlow,Bayesian Methods,Python,Doctoral degree,Computer Science,More than 10 years,Work,0.0,20.0,40.0,0.0,40.0,0.0
5009,Male,Hungary,31.0,Employed full-time,Yes,Software Developer/Software Engineer,I don't plan on learning a new tool/technology,"Ensemble Methods (e.g. boosting, bagging)",Python,Master's degree,Engineering (non-computer focused),3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",20.0,50.0,25.0,0.0,5.0,0.0
5010,Male,United States,27.0,Employed part-time,No,Other,SAS Base,I don't plan on learning a new ML/DS method,R,Bachelor's degree,Mathematics or statistics,1 to 2 years,Self-taught,90.0,0.0,0.0,0.0,10.0,0.0
5013,Male,United States,61.0,Employed full-time,Yes,Statistician,Stan,Deep learning,R,Doctoral degree,Biology,More than 10 years,University courses,10.0,5.0,5.0,80.0,0.0,0.0
5014,Male,Russia,21.0,Employed part-time,Yes,Predictive Modeler,Python,Random Forests,Python,Bachelor's degree,Mathematics or statistics,Less than a year,"Online courses (coursera, udemy, edx, etc.)",30.0,30.0,25.0,0.0,15.0,0.0
5015,Female,United States,24.0,Employed full-time,No,Software Developer/Software Engineer,Python,Deep learning,Matlab,Master's degree,Engineering (non-computer focused),1 to 2 years,University courses,15.0,5.0,0.0,80.0,0.0,0.0
5016,Male,United Kingdom,41.0,"Independent contractor, freelancer, or self-employed",Yes,Scientist/Researcher,TensorFlow,Deep learning,Python,Doctoral degree,Other,More than 10 years,University courses,50.0,20.0,30.0,0.0,0.0,0.0
5017,Male,Sweden,25.0,Employed full-time,Yes,Data Scientist,R,Anomaly Detection,Python,Bachelor's degree,Computer Science,Less than a year,Self-taught,50.0,50.0,0.0,0.0,0.0,0.0
5019,Male,Other,44.0,Employed full-time,No,Scientist/Researcher,Python,Social Network Analysis,Python,Doctoral degree,Computer Science,Less than a year,Self-taught,50.0,40.0,0.0,0.0,10.0,0.0
5020,Female,Canada,26.0,Employed full-time,Yes,Data Scientist,TensorFlow,Deep learning,Python,Master's degree,Computer Science,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",10.0,15.0,20.0,50.0,5.0,0.0
5022,Male,Argentina,32.0,Employed full-time,Yes,Researcher,Python,Deep learning,R,Doctoral degree,Other,1 to 2 years,University courses,5.0,0.0,15.0,80.0,0.0,0.0
5023,Male,United States,27.0,Employed full-time,Yes,Data Scientist,TensorFlow,Deep learning,Python,Master's degree,Computer Science,3 to 5 years,University courses,20.0,5.0,20.0,55.0,0.0,0.0
5025,Male,South Africa,37.0,Employed full-time,Yes,Data Scientist,Jupyter notebooks,Time Series Analysis,Python,Doctoral degree,Computer Science,More than 10 years,University courses,20.0,0.0,40.0,40.0,0.0,0.0
5026,Female,United States,39.0,"Independent contractor, freelancer, or self-employed",Yes,Data Scientist,TensorFlow,"Ensemble Methods (e.g. boosting, bagging)",R,Master's degree,Physics,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",0.0,80.0,10.0,0.0,10.0,0.0
5027,Male,United States,23.0,Employed full-time,No,Software Developer/Software Engineer,IBM Watson / Waton Analytics,Neural Nets,C/C++/C#,Master's degree,"Information technology, networking, or system administration",Less than a year,"Online courses (coursera, udemy, edx, etc.)",25.0,50.0,0.0,25.0,0.0,0.0
5031,Male,United Kingdom,27.0,"Independent contractor, freelancer, or self-employed",Yes,Data Scientist,Jupyter notebooks,Deep learning,Python,Doctoral degree,A social science,6 to 10 years,University courses,50.0,10.0,0.0,40.0,0.0,0.0
5032,Male,Canada,63.0,Employed full-time,Yes,Data Scientist,R,Social Network Analysis,R,Bachelor's degree,Physics,More than 10 years,Self-taught,90.0,0.0,10.0,0.0,0.0,0.0
5033,Male,United States,51.0,Employed full-time,Yes,Other,TensorFlow,Deep learning,Python,Doctoral degree,Computer Science,More than 10 years,University courses,20.0,0.0,0.0,80.0,0.0,0.0
5035,Female,United States,30.0,Employed full-time,Yes,Data Scientist,Python,Time Series Analysis,Java,Master's degree,Computer Science,3 to 5 years,University courses,0.0,30.0,70.0,0.0,0.0,0.0
5036,Female,United States,23.0,Employed full-time,Yes,Scientist/Researcher,TensorFlow,Bayesian Methods,Python,Bachelor's degree,Engineering (non-computer focused),3 to 5 years,University courses,10.0,0.0,10.0,80.0,0.0,0.0
5037,Male,United States,40.0,Employed full-time,Yes,Software Developer/Software Engineer,R,Support Vector Machines (SVM),Scala,Bachelor's degree,Management information systems,More than 10 years,Work,60.0,0.0,40.0,0.0,0.0,0.0
5041,Male,Denmark,56.0,Employed full-time,Yes,Business Analyst,Amazon Machine Learning,Deep learning,Python,Doctoral degree,Biology,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",20.0,30.0,0.0,0.0,50.0,0.0
5043,Male,United States,34.0,Employed part-time,No,Statistician,TensorFlow,Bayesian Methods,Python,Some college/university study without earning a bachelor's degree,Mathematics or statistics,Less than a year,"Online courses (coursera, udemy, edx, etc.)",80.0,20.0,0.0,0.0,0.0,0.0
5044,Male,United States,40.0,Employed full-time,Yes,Data Scientist,Spark / MLlib,Monte Carlo Methods,Python,Doctoral degree,Computer Science,More than 10 years,University courses,20.0,20.0,20.0,40.0,0.0,0.0
5045,Male,New Zealand,61.0,"Independent contractor, freelancer, or self-employed",Yes,Data Scientist,Stan,Neural Nets,R,Master's degree,Mathematics or statistics,More than 10 years,Self-taught,50.0,10.0,15.0,0.0,25.0,0.0
5047,Male,Sweden,46.0,"Independent contractor, freelancer, or self-employed",Yes,Machine Learning Engineer,Amazon Web services,Genetic & Evolutionary Algorithms,Python,Master's degree,Physics,1 to 2 years,Self-taught,50.0,0.0,40.0,10.0,0.0,0.0
5048,Male,United States,44.0,Employed full-time,Yes,Software Developer/Software Engineer,Python,Bayesian Methods,Python,Master's degree,Engineering (non-computer focused),More than 10 years,"Online courses (coursera, udemy, edx, etc.)",25.0,25.0,50.0,0.0,0.0,0.0
5052,Male,Canada,21.0,Employed full-time,No,Software Developer/Software Engineer,TensorFlow,Deep learning,Python,Bachelor's degree,Engineering (non-computer focused),1 to 2 years,Self-taught,60.0,0.0,0.0,40.0,0.0,0.0
5053,Female,France,29.0,Employed full-time,Yes,Data Scientist,TensorFlow,Deep learning,Python,Master's degree,Electrical Engineering,3 to 5 years,University courses,5.0,5.0,30.0,55.0,5.0,0.0
5054,Female,Australia,34.0,Employed part-time,Yes,Data Analyst,TensorFlow,Deep learning,R,Master's degree,I never declared a major,Less than a year,"Online courses (coursera, udemy, edx, etc.)",20.0,35.0,15.0,30.0,0.0,0.0
5057,Male,Germany,36.0,Employed part-time,Yes,Data Scientist,Spark / MLlib,Other,Python,Doctoral degree,Computer Science,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",5.0,5.0,90.0,0.0,0.0,0.0
5058,Male,United States,47.0,Employed full-time,Yes,Software Developer/Software Engineer,TensorFlow,Deep learning,Python,Master's degree,Computer Science,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",30.0,60.0,0.0,0.0,10.0,0.0
5060,Male,Canada,40.0,Employed full-time,Yes,Software Developer/Software Engineer,TensorFlow,Deep learning,Python,Master's degree,Computer Science,6 to 10 years,"Online courses (coursera, udemy, edx, etc.)",20.0,50.0,10.0,20.0,0.0,0.0
5061,Male,United Kingdom,28.0,Employed full-time,Yes,Software Developer/Software Engineer,I don't plan on learning a new tool/technology,Other,Python,Doctoral degree,Computer Science,6 to 10 years,University courses,10.0,30.0,30.0,30.0,0.0,0.0
5062,Male,Poland,36.0,Employed full-time,Yes,Data Analyst,Stan,Deep learning,R,Master's degree,Mathematics or statistics,More than 10 years,Self-taught,35.0,20.0,10.0,15.0,20.0,0.0
5063,Male,Other,24.0,Employed full-time,Yes,Data Analyst,Python,Deep learning,R,Some college/university study without earning a bachelor's degree,Mathematics or statistics,Less than a year,Self-taught,30.0,25.0,5.0,10.0,30.0,0.0
5064,Male,United States,40.0,Employed full-time,Yes,Researcher,TensorFlow,Neural Nets,Python,Master's degree,A humanities discipline,3 to 5 years,Self-taught,60.0,0.0,20.0,20.0,0.0,0.0
5065,Female,United States,36.0,Employed full-time,Yes,Data Scientist,I don't plan on learning a new tool/technology,Survival Analysis,Python,Master's degree,Computer Science,3 to 5 years,University courses,40.0,0.0,0.0,60.0,0.0,0.0
5066,Male,United States,49.0,Employed full-time,Yes,DBA/Database Engineer,TensorFlow,Anomaly Detection,Python,Bachelor's degree,Management information systems,More than 10 years,Work,20.0,0.0,80.0,0.0,0.0,0.0
5069,Male,Brazil,37.0,"Independent contractor, freelancer, or self-employed",Yes,Data Scientist,Python,Deep learning,Python,Bachelor's degree,Engineering (non-computer focused),1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",0.0,90.0,8.0,0.0,2.0,0.0
5072,Male,United States,46.0,Employed full-time,Yes,Scientist/Researcher,TensorFlow,Survival Analysis,Python,Doctoral degree,Mathematics or statistics,More than 10 years,Self-taught,90.0,10.0,0.0,0.0,0.0,0.0
5079,Male,United States,50.0,Employed part-time,No,Other,R,Survival Analysis,R,Master's degree,Mathematics or statistics,Less than a year,University courses,15.0,0.0,0.0,80.0,5.0,0.0
5080,Male,India,27.0,Employed full-time,Yes,Data Analyst,NoSQL,Deep learning,R,Master's degree,Computer Science,1 to 2 years,University courses,10.0,30.0,30.0,30.0,0.0,0.0
5081,Male,Australia,36.0,Employed full-time,Yes,Data Scientist,R,Uplift Modeling,R,Master's degree,Computer Science,More than 10 years,University courses,25.0,0.0,25.0,50.0,0.0,0.0
5082,Female,Other,26.0,Employed full-time,No,Programmer,NoSQL,Bayesian Methods,C/C++/C#,Bachelor's degree,"Information technology, networking, or system administration",Less than a year,University courses,10.0,10.0,10.0,70.0,0.0,0.0
5083,Male,United States,34.0,Employed full-time,Yes,Data Scientist,Java,Genetic & Evolutionary Algorithms,Python,Master's degree,Mathematics or statistics,3 to 5 years,Self-taught,60.0,10.0,10.0,10.0,5.0,5.0
5085,Male,Argentina,45.0,Employed full-time,No,Other,Python,Social Network Analysis,R,Bachelor's degree,Management information systems,Less than a year,"Online courses (coursera, udemy, edx, etc.)",20.0,70.0,10.0,0.0,0.0,0.0
5086,Male,Japan,45.0,Employed full-time,No,Engineer,Jupyter notebooks,"Ensemble Methods (e.g. boosting, bagging)",Python,Some college/university study without earning a bachelor's degree,Engineering (non-computer focused),1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",100.0,0.0,0.0,0.0,0.0,0.0
5089,Female,Egypt,25.0,Employed full-time,Yes,Researcher,Python,Deep learning,Matlab,Bachelor's degree,Electrical Engineering,Less than a year,University courses,30.0,50.0,5.0,15.0,0.0,0.0
5091,Male,United States,35.0,Employed full-time,Yes,Data Scientist,TensorFlow,Bayesian Methods,Python,Doctoral degree,Physics,6 to 10 years,Self-taught,34.0,33.0,33.0,0.0,0.0,0.0
5092,Female,Brazil,28.0,Employed full-time,Yes,Computer Scientist,DataRobot,Time Series Analysis,Python,Doctoral degree,Computer Science,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",60.0,40.0,0.0,0.0,0.0,0.0
5093,Female,United States,53.0,Employed part-time,Yes,Other,R,I don't plan on learning a new ML/DS method,R,Bachelor's degree,Engineering (non-computer focused),1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",0.0,100.0,0.0,0.0,0.0,0.0
